TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
KRX-IDX,150203,572.56,574.83,557.47,557.47,96935831
KRX-IDX,150204,556.93,561.69,553.21,561.45,100169716
KRX-IDX,150205,562.17,568.22,562.05,567.17,78742544
KRX-IDX,150206,569.03,574.36,569.03,574.13,64274918
KRX-IDX,150209,574.06,577.04,572.79,573.55,71316820
KRX-IDX,150210,575.74,578.42,574.24,574.52,73830792
KRX-IDX,150211,574.88,581.76,574.88,581.76,77500496
KRX-IDX,150213,586.26,589.02,585.6,587.24,73837820
KRX-IDX,150224,590.18,596.95,589.74,596.95,62893419
KRX-IDX,150225,596.9,601.55,592.66,592.66,99237866
KRX-IDX,150226,593.95,597.07,591.78,596.72,89935440
KRX-IDX,150227,598,598.4,590.58,592.57,78310062
KRX-IDX,150302,591.75,593.72,588.59,590.73,86655948
KRX-IDX,150303,590.42,597.45,590.42,596.72,112826690
KRX-IDX,150304,598.49,600.69,595.34,600.39,120522460
KRX-IDX,150305,601.08,602.4,596.75,596.91,134357502
KRX-IDX,150306,596.42,598.33,592.71,593.97,101676233
KRX-IDX,150309,594.08,596.32,587.27,588.44,98831480
KRX-IDX,150310,586.38,591.17,586.38,589.66,105173875
KRX-IDX,150311,589.04,590.56,586.49,586.54,86316492
KRX-IDX,150312,585.89,589.67,585.48,588.53,82739692
KRX-IDX,150313,589.04,591.75,586.1,586.1,97281740
KRX-IDX,150316,583.26,586.19,580.55,580.8,100538780
KRX-IDX,150317,580.6,583.59,580.6,581.76,105054970
KRX-IDX,150318,580.81,581.53,577.26,578.68,108040880
KRX-IDX,150319,579.39,580.32,573.52,573.74,84526970
KRX-IDX,150320,572.57,577.56,571.92,575.44,151536960
KRX-IDX,150323,576.64,579.39,570.44,570.89,99548172
KRX-IDX,150324,569.33,569.91,562.07,567.43,91921673
KRX-IDX,150325,567.62,568.4,559.87,560.93,87606340
KRX-IDX,150326,556.12,559.68,553.19,556.16,83825010
KRX-IDX,150327,558.93,561.13,549.65,551.42,91630502
KRX-IDX,150330,551.75,554.26,545.07,545.19,108626597
KRX-IDX,150331,544.87,552.72,544.87,551.13,83615827
KRX-IDX,150401,550.8,551.69,537.3,538.91,129132966
KRX-IDX,150402,540.54,546.85,536.87,546.85,89755500
KRX-IDX,150403,548.69,550.3,544.22,547.85,70713550
KRX-IDX,150406,548.11,549.28,542.97,542.97,71851972
KRX-IDX,150407,542.71,548.37,540.79,548.11,96779408
KRX-IDX,150408,549.69,551.23,546.29,547.72,80149309
KRX-IDX,150409,547.26,552.53,546.76,550.52,94464349
KRX-IDX,150410,550.96,557.65,550.96,554.03,104201065
KRX-IDX,150413,556.35,559.68,555.97,559.54,72141841
KRX-IDX,150414,559.81,562.95,558.49,558.67,69539197
KRX-IDX,150415,558.94,565.39,558.94,564.5,82310547
KRX-IDX,150416,564.5,570.68,564.5,568.28,100518330
KRX-IDX,150417,568.87,572.76,568.28,568.32,107308470
KRX-IDX,150420,568.52,568.83,562.66,565.04,98954159
KRX-IDX,150421,563.78,567.52,562.24,562.24,98592506
KRX-IDX,150422,562.58,565.04,561.53,562.51,91608120
KRX-IDX,150423,562.85,564.45,557.57,561.25,76336705
KRX-IDX,150424,563.17,567.36,561.56,565.77,61680945
KRX-IDX,150427,567.77,568.47,562.4,562.4,61882580
KRX-IDX,150504,560.62,563.36,545.08,545.08,112493038
KRX-IDX,150505,544.8,552.65,539.04,552.65,116972118
KRX-IDX,150506,553.3,555.51,548.17,549.3,89293918
KRX-IDX,150507,548.51,554.22,547.53,552.98,70107660
KRX-IDX,150508,551.57,556.39,550.93,554.51,72948230
KRX-IDX,150511,554.5,556.2,550.57,551.67,108342081
KRX-IDX,150512,551.98,552.56,542.7,544.41,79641182
KRX-IDX,150513,545.5,546.99,538.76,542.82,79428780
KRX-IDX,150514,542.53,545,540.72,543.69,67995728
KRX-IDX,150515,543.61,545.48,537.44,537.44,74945168
KRX-IDX,150518,535.82,536.71,528.9,528.95,105370270
KRX-IDX,150519,530,537.19,530,536.82,93794238
KRX-IDX,150520,536.35,550.33,536.07,550.1,128457950
KRX-IDX,150521,550.99,554,547.95,552.56,112191076
KRX-IDX,150522,553.41,561.82,550.81,561.82,119603570
KRX-IDX,150525,560.8,563.84,558.5,563,108172345
KRX-IDX,150526,563.31,570.29,562.58,567.2,143157231
KRX-IDX,150527,564.64,569.63,563.28,566.48,115039470
KRX-IDX,150528,566.13,576.92,564.73,572.97,151798276
KRX-IDX,150529,572.73,577.03,568.7,569.56,135981181
KRX-IDX,150601,571.15,579.58,570.14,574.98,118501583
KRX-IDX,150602,575.7,581.24,570.31,570.31,123887116
KRX-IDX,150603,570.55,573.91,567.81,567.9,125465980
KRX-IDX,150604,568.01,573.5,567.89,568.99,113850448
KRX-IDX,150605,568.63,579.01,568.37,578.07,147673160
KRX-IDX,150608,580.74,585.51,579.45,579.83,193168139
KRX-IDX,150609,578.68,582.13,573.73,574.47,162014406
KRX-IDX,150610,576.06,576.62,569.59,574.1,133530725
KRX-IDX,150611,577.32,582.68,575.25,581.05,166695844
KRX-IDX,150612,582.54,585.01,578.8,582.73,163046490
KRX-IDX,150615,583.51,586.67,581.35,586.48,154918630
KRX-IDX,150616,587.76,589.33,580.35,580.35,162621442
KRX-IDX,150617,578.53,584.04,575.88,578.87,131353017
KRX-IDX,150618,578.73,583.02,578.47,580.35,98182300
KRX-IDX,150619,584.08,588.48,582.47,584.7,201253300
KRX-IDX,150622,588.33,594.08,588.01,594.08,154756804
KRX-IDX,150623,592.44,595.11,590.76,593.07,130756238
KRX-IDX,150624,592.19,594.01,589.02,590.02,128936836
KRX-IDX,150625,589.29,590.37,585.34,587.99,114600820
KRX-IDX,150626,586.04,592.59,581.75,581.75,152466275
KRX-IDX,150629,580.16,591.75,579.61,591.75,121736895
KRX-IDX,150630,588.77,598.98,588.77,593.05,156142734
KRX-IDX,150701,594.52,594.52,587.33,591.5,133015191
KRX-IDX,150702,590.52,605.7,590.52,605.7,136673256
KRX-IDX,150703,608.82,617.96,608.82,616.43,164545634
KRX-IDX,150706,618.75,625.34,618.65,625.22,179746153
KRX-IDX,150707,623.89,633.73,620.59,630.27,175372826
KRX-IDX,150708,630.4,634.13,617.29,623.17,191326801
KRX-IDX,150709,616.2,626.38,613.34,622.1,148192176
KRX-IDX,150710,627.56,630.79,624.7,627.28,216829191
KRX-IDX,150713,631.56,637.07,627.69,634.06,140485030
KRX-IDX,150714,635.55,640.43,628.43,638.69,155025876
KRX-IDX,150715,640.43,641.06,630.89,630.89,141789461
KRX-IDX,150716,627.32,632.21,622.57,626.9,132735829
KRX-IDX,150717,628.45,631.67,626.21,628.63,106876812
KRX-IDX,150720,624.84,624.84,616.11,620.54,120577490
KRX-IDX,150721,619.9,624.47,613.83,616.61,100715190
KRX-IDX,150722,614.56,629.94,613.58,629.85,120809536
KRX-IDX,150723,632.07,637.91,631.43,632.01,120931816
KRX-IDX,150724,633.27,634.61,627.99,631.26,111646685
KRX-IDX,150727,629.68,636.84,629.42,635.46,123978732
KRX-IDX,150728,636.58,639.54,631.47,631.47,155012385
KRX-IDX,150729,632,634.64,624.7,624.7,114155520
KRX-IDX,150730,625.46,627.11,622.43,626.57,102580431
KRX-IDX,150731,628.31,629.97,621.06,621.06,112601314
KRX-IDX,150803,617.12,617.12,605.63,609.47,129775440
KRX-IDX,150804,607.95,609.91,600.76,600.76,83579840
KRX-IDX,150805,600.68,608.21,600.68,607.08,108568356
KRX-IDX,150806,607.84,609.31,600.85,601.04,110438300
KRX-IDX,150807,601.57,604.04,597.75,603.76,87763805
KRX-IDX,150810,603.82,614.53,603.82,614.53,90733790
KRX-IDX,150811,615.17,619.69,611.17,613.05,119704416
KRX-IDX,150812,609.33,611.46,602.01,604.24,112168470
KRX-IDX,150813,603.31,603.31,590.44,594.26,126466967
KRX-IDX,150814,592.8,598.55,585.97,589.03,90668550
KRX-IDX,150817,588.67,591.2,571.26,573.15,108220070
KRX-IDX,150818,571.31,580.22,571.22,580.22,93866701
KRX-IDX,150819,576.44,580.99,569.21,577.82,106329590
KRX-IDX,150820,577.82,577.82,565.09,566.69,113118145
KRX-IDX,150821,559.34,559.97,542.31,556.3,185890140
KRX-IDX,150824,550.48,550.48,523.55,526.93,174559919
KRX-IDX,150825,511.13,535.48,511.13,529.98,177692294
KRX-IDX,150826,530.05,545.89,530.05,545.89,124142260
KRX-IDX,150827,551.89,558.93,551.44,555.81,127733040
KRX-IDX,150828,561.36,570.87,559.35,570.87,165727370
KRX-IDX,150831,573.1,573.1,563.99,564.75,127965687
KRX-IDX,150901,565.75,569.18,561.28,562.31,98666090
KRX-IDX,150903,559.32,561.43,551.47,554.3,93471190
KRX-IDX,150904,554.85,558.9,554.77,556.81,66984681
KRX-IDX,150907,557.07,560.09,554.44,554.93,75024450
KRX-IDX,150908,554.48,566.72,554.34,566.72,107299931
KRX-IDX,150909,574.06,574.73,569.69,572.34,89599390
KRX-IDX,150910,567.51,576.13,567.09,572.07,70327858
KRX-IDX,150911,572.14,573.99,566.18,566.74,94986910
KRX-IDX,150914,569.21,572.25,561.46,562.17,84875711
KRX-IDX,150915,564.38,565.05,561.1,563.27,85238120
KRX-IDX,150916,561.86,564.82,561.69,564.13,74657307
KRX-IDX,150917,563.93,565.85,562.48,562.48,88373514
KRX-IDX,150918,564.69,569.5,564.69,566.25,153413503
KRX-IDX,150921,566.74,572.26,565.16,572.12,109412321
KRX-IDX,150922,573.09,575.17,570.26,573.2,121249664
KRX-IDX,150923,570.64,573.85,569.51,572.72,107830778
KRX-IDX,150924,573.5,575.36,570.12,570.25,107033234
KRX-IDX,150925,570.41,572.09,567.71,570.38,79089825
KRX-IDX,150928,571.29,572.15,564.88,564.88,86044001
KRX-IDX,150929,559.83,561.76,557.65,561.19,93139990
KRX-IDX,150930,562.5,565.65,562.5,562.64,83821689
KRX-IDX,151001,563.39,565.63,563.23,563.54,82587308
KRX-IDX,151002,563.33,565.01,561.73,562.31,81795149
KRX-IDX,151005,564.58,570,563.95,570,98664048
KRX-IDX,151006,577.45,581.38,574.63,581.29,179239993
KRX-IDX,151007,583.97,587.3,579.57,579.57,126077827
KRX-IDX,151008,580.04,588.35,579.82,586.78,194056072
KRX-IDX,151009,590.91,593.02,587.57,588.02,162687753
KRX-IDX,151012,587.72,594.74,587.25,592.1,152110985
KRX-IDX,151013,589.09,591.66,588.54,590.84,115293788
KRX-IDX,151014,592.45,593.73,589.62,589.98,113476812
KRX-IDX,151015,591.36,594.17,588.98,592.4,115345487
KRX-IDX,151016,592.4,599.74,592.4,593.02,132294470
KRX-IDX,151019,593.87,598.11,591.6,594.61,107689287
KRX-IDX,151020,594.97,596.37,588.26,590.45,118292310
KRX-IDX,151021,590.43,594.5,589.84,590.24,100314613
KRX-IDX,151022,590.24,595.81,589.74,595.08,94881079
KRX-IDX,151023,598.55,602.55,598.25,601.74,104409506
